profile_id,username_length,bio_length,followers_count,following_count,posts_count,engagement_rate,profile_picture,verified_status,account_age_days,external_url,suspicious_keywords_count,hashtags_count,average_likes,average_comments,label
1,11,118,5790,3137,60,0.00799824827967548,0,0,47,0,4,4,632,10,real
2,8,52,2837,4578,146,0.008982575257208403,1,1,463,0,1,5,497,75,real
3,17,31,5242,3377,173,0.05907537213530648,1,0,670,1,1,7,840,90,real
4,19,50,2227,3405,432,0.05993635517382656,1,0,408,0,1,3,869,26,real
5,15,43,3549,823,277,0.0418758990482655,0,0,194,1,0,1,496,4,real
6,12,81,7855,855,333,0.043184369231202974,1,1,427,0,2,9,154,90,real
7,17,145,9239,1174,368,0.005393258284087122,0,0,930,0,4,7,533,28,real
8,9,149,4393,4772,440,0.051654651038926226,1,1,791,0,1,1,765,2,real
9,11,36,2971,1777,378,0.05047394753803517,0,1,317,1,1,4,155,66,real
10,14,95,3236,364,141,0.014954931855694454,0,1,479,1,4,5,760,16,real
11,7,55,6847,1882,43,0.010383938611092759,1,1,421,1,2,4,512,57,real
12,11,104,7041,2034,143,0.01235724905994905,1,1,269,1,2,5,613,23,real
13,15,58,9300,2827,352,0.010102824649125854,0,1,481,1,4,5,837,23,real
14,15,9,1878,23,24,0.0025396337685712747,0,0,96,1,6,2,844,77,fake
15,12,34,3726,4285,485,0.019648265240291864,0,0,736,0,2,2,636,21,real
16,9,92,3424,75,496,0.025143015218746345,0,1,263,0,4,8,536,25,real
17,8,96,1458,4925,395,0.017357214415143974,0,1,426,1,4,2,281,58,real
18,12,134,580,4276,54,0.09578353044485031,1,0,166,1,1,2,543,37,real
19,12,75,2914,4100,306,0.08546174631518355,0,1,692,1,4,1,639,49,real
20,7,48,2515,2531,357,0.023049483735152088,0,0,428,1,0,6,890,77,real
21,10,93,927,2591,422,0.0327566293922126,0,0,704,1,1,9,104,15,real
22,9,23,6992,1400,416,0.020989284230499717,0,1,397,0,1,9,456,28,real
23,6,2,12543,309,19,0.00023250435284152048,0,0,64,0,5,3,424,67,fake
24,12,36,6346,2496,284,0.0019610532474253596,1,0,796,0,3,0,266,87,real
25,16,3,1688,844,324,0.06713680088967958,1,1,864,0,2,5,852,4,real
26,18,12,19907,434,6,0.008639517200542653,0,0,79,0,7,4,271,47,fake
27,10,125,9951,3525,158,0.08986389283011033,0,0,978,0,1,1,96,50,real
28,6,27,17881,82,10,0.0002490506974620044,0,0,11,0,4,5,914,60,fake
29,16,49,4759,2453,30,0.08041092460611317,0,0,880,0,4,0,445,62,real
30,9,95,3515,737,472,0.07919610144667158,0,1,482,1,3,2,985,67,real
31,5,104,4539,3696,111,0.012718118921688693,0,1,499,1,3,3,839,72,real
32,16,26,17092,232,4,0.0031869583786086697,0,0,62,0,7,2,579,43,fake
33,14,97,8576,1046,352,0.01701526411445169,1,0,257,0,0,5,751,89,real
34,10,17,8702,11,28,0.000782464929462231,0,0,80,0,5,3,117,58,fake
35,17,78,5172,2750,51,0.02632461748305444,0,1,242,1,1,0,28,52,real
36,16,5,216,502,137,0.05562363940257728,0,1,554,1,0,4,374,76,real
37,13,26,8578,219,17,0.007814059261710523,0,0,47,0,6,4,662,69,fake
38,5,114,1329,1153,73,0.09477328040063054,0,1,946,1,2,8,388,97,real
39,15,12,11668,270,7,0.009249827730711879,0,0,70,0,6,7,169,46,fake
40,15,11,4637,3417,478,0.09736921348501988,0,0,188,0,1,7,109,25,real
41,19,29,17922,99,26,0.005628156198177924,0,0,75,0,7,4,274,25,fake
42,14,17,2700,182,386,0.07728739363818532,0,1,819,0,1,7,759,35,real
43,16,39,7333,4364,186,0.03389699261728214,0,0,400,0,4,9,759,61,real
44,16,23,13232,352,41,0.0013956681730832167,0,0,58,1,7,6,58,15,fake
45,19,142,8291,526,51,0.085788918524624,0,0,167,0,0,0,686,90,real
46,18,98,5223,532,417,0.03088608992364632,1,1,783,0,3,6,808,74,real
47,18,25,4118,1927,432,0.06588554042268423,0,1,125,0,4,7,424,88,real
48,19,7,3030,2896,411,0.05664436850866266,1,0,673,0,2,2,68,35,real
49,18,13,10092,405,1,0.005581608582861016,0,0,10,1,7,8,192,29,fake
50,7,86,9006,1939,86,0.04958194726485391,0,0,821,0,1,7,668,38,real
51,16,41,9146,3955,108,0.07322379140922876,1,0,489,0,4,1,456,69,real
52,11,13,2799,2219,479,0.008777291412344058,0,0,226,1,0,5,907,24,real
53,8,29,2466,343,34,0.007703412394526787,0,0,16,0,3,3,310,19,fake
54,13,1,7615,2600,224,0.08958121013985787,1,0,345,0,2,2,617,46,real
55,7,118,9812,4944,481,0.005778819701986415,0,0,760,0,0,5,564,49,real
56,9,36,8145,4086,480,0.014065333923366674,1,0,874,0,4,9,363,44,real
57,7,68,6065,1103,247,0.07166319367020314,0,1,518,1,4,8,778,73,real
58,11,13,12207,261,25,0.007184162052263006,0,0,12,0,4,1,222,26,fake
59,9,61,7185,2504,119,0.04035486208136884,0,0,709,0,2,9,198,25,real
60,13,59,7139,2589,66,0.013696663454423587,0,1,744,1,0,9,652,35,real
61,11,124,5031,2498,60,0.05067700407177881,1,1,296,0,1,9,356,36,real
62,6,6,8714,392,22,0.007417190058665551,0,0,71,0,4,4,821,14,fake
63,8,13,2397,2768,326,0.04766204563105404,1,0,837,1,3,5,912,56,real
64,13,83,6592,1584,407,0.07636152989616568,1,0,972,0,3,3,810,6,real
65,16,129,9143,2383,190,0.02582643578871635,1,1,135,1,1,6,146,32,real
66,18,11,19117,342,4,0.0027917384255347765,0,0,91,0,8,1,39,26,fake
67,6,144,2576,4855,492,0.09920159693968357,0,1,4,1,2,6,155,15,real
68,14,122,985,1103,188,0.06866504233540373,0,0,178,0,3,1,833,49,real
69,13,88,7222,1199,150,0.08413567713051986,1,0,746,0,3,0,995,95,real
70,14,27,9156,2699,285,0.04148476065605458,1,1,259,1,0,4,477,56,real
71,9,24,1490,364,15,0.0007373752258424226,0,0,88,0,8,1,626,37,fake
72,6,4,5057,1885,401,0.004050917294132184,0,0,65,1,4,7,512,53,real
73,8,3,19093,56,41,0.0014896363854845019,0,0,50,1,9,7,808,58,fake
74,16,46,7392,1797,311,0.020307059292006213,0,1,363,1,3,0,977,83,real
75,19,30,6241,3942,308,0.04019519246152196,0,0,818,1,4,3,200,78,real
76,16,138,3337,1617,262,0.08457448783257632,0,0,717,0,0,8,480,36,real
77,11,15,19302,344,10,0.009555064850789406,0,0,15,1,6,4,699,11,fake
78,16,117,2269,58,452,0.06546211935154629,0,1,200,0,2,9,354,27,real
79,17,18,11226,172,18,0.006135139870959812,0,0,59,0,6,5,760,2,fake
80,12,79,474,2190,475,0.058618235408834145,0,0,212,1,1,2,10,22,real
81,19,92,3304,3056,124,0.03572419681701362,0,1,435,1,0,4,119,66,real
82,7,9,9166,125,15,0.007278996058639256,0,0,70,0,5,0,859,84,fake
83,18,15,11903,412,31,0.008990645917806059,0,0,62,1,5,7,796,17,fake
84,5,93,1240,3836,435,0.008387373855201209,0,1,803,0,4,5,892,4,real
85,8,104,9086,4584,131,0.09928039781860144,1,0,483,1,0,1,903,14,real
86,6,0,3815,841,417,0.012718245363251092,1,0,998,0,3,3,755,7,real
87,12,132,6429,2707,452,0.007234838383605735,1,1,234,0,1,3,73,79,real
88,8,19,5760,4787,416,0.08785307492071559,1,0,408,1,4,8,765,94,real
89,6,7,3866,2745,120,0.030183466089289512,0,0,694,0,2,8,62,16,real
90,18,0,3145,91,196,0.06502969740735076,1,0,146,0,0,4,271,66,real
91,10,56,6963,96,293,0.032900572966223285,1,1,562,1,3,2,538,19,real
92,10,4,10678,88,11,0.008527545665512918,0,0,83,1,8,0,311,1,fake
93,14,117,6044,831,121,0.026211297201679654,1,1,432,1,0,5,977,31,real
94,8,27,4599,172,281,0.03430440057930102,0,1,615,1,1,7,895,4,real
95,10,26,15885,456,1,0.0021840184971911904,0,0,72,1,3,0,243,91,fake
96,17,106,6075,2407,259,0.0720416069092343,1,1,497,0,3,0,82,58,real
97,19,48,1104,1942,38,0.05115361942347918,1,0,983,0,3,6,366,56,real
98,6,119,2421,2738,53,0.0943565217156977,1,0,89,1,4,6,960,53,real
99,14,43,2627,3545,473,0.0041880393838775514,0,0,997,0,1,1,612,89,real
100,16,15,7099,380,42,0.0005806004460875369,0,0,62,0,6,2,493,86,fake
101,6,110,4155,2800,288,0.05842247888317181,1,0,897,0,1,1,15,43,real
102,14,133,2785,2717,199,0.0920196986074274,1,0,853,0,0,5,719,74,real
103,18,107,6638,3943,275,0.0049158523621427586,0,0,827,0,4,7,886,97,real
104,8,0,17581,17,21,0.009251282008634586,0,0,50,1,5,7,717,49,fake
105,18,113,3980,932,404,0.08536299285279571,1,1,778,1,0,0,991,60,real
106,19,77,7982,2185,172,0.024192772811923658,0,0,223,0,3,8,817,94,real
107,19,129,8785,1592,247,0.08762923485239375,1,0,748,0,3,7,868,94,real
108,12,36,5425,574,382,0.0019043409274291823,0,0,665,1,3,8,843,16,real
109,18,19,4341,3268,217,0.07324546291337297,0,0,468,1,1,8,146,73,real
110,11,25,1952,2607,86,0.09331132211686531,1,1,569,1,1,5,788,81,real
111,16,28,6036,2510,81,0.06571976616400622,1,1,322,1,1,2,413,99,real
112,13,0,8311,4576,61,0.0439029243980448,0,1,375,0,3,0,637,60,real
113,18,118,201,997,286,0.0044881016472718025,0,1,112,1,0,7,564,47,real
114,12,34,9105,3646,499,0.09201138133226289,1,1,527,1,3,9,752,15,real
115,9,4,11159,32,25,0.00981668292637757,0,0,77,0,3,2,579,63,fake
116,17,68,6721,360,11,0.002899674433594801,0,1,269,1,1,6,215,28,real
117,6,11,9285,1938,320,0.0689821071328762,1,0,626,1,2,9,419,20,real
118,19,19,659,358,233,0.04818372535762582,0,0,252,1,1,5,815,97,real
119,9,42,4144,4287,328,0.012434531744241074,0,0,374,1,4,2,615,63,real
120,12,125,7597,4742,130,0.021427180931025958,0,0,654,1,0,5,45,33,real
121,14,12,14810,278,32,0.0056734419351397525,0,0,54,0,4,2,239,36,fake
122,13,28,1046,2236,217,0.057429353970857355,0,0,450,0,1,8,236,13,real
123,16,12,10726,288,23,0.008884019148377796,0,0,54,0,9,0,704,62,fake
124,16,2,19097,40,4,0.0023181604971475333,0,0,97,0,6,7,271,68,fake
125,16,83,5467,2429,178,0.0817102133002615,0,1,869,0,0,4,140,23,real
126,17,16,10540,423,20,0.0011103870458985133,0,0,96,1,2,3,586,72,fake
127,13,125,2440,3050,471,0.061562439668312666,1,1,368,1,3,0,901,13,real
128,17,44,1889,2078,241,0.0012756479707430547,1,1,822,1,2,8,457,88,real
129,19,51,7552,1135,333,0.06952296557477357,1,0,255,1,1,8,195,40,real
130,17,79,2021,3127,380,0.04179992169203516,1,0,463,1,0,4,638,30,real
131,5,18,9102,179,45,0.004998169374084141,0,0,28,1,6,8,195,94,fake
132,13,4,13754,139,17,0.008111834194837861,0,0,51,1,5,9,283,25,fake
133,11,4,4844,404,38,0.006546536232403324,0,0,74,1,6,8,672,97,fake
134,13,84,1457,2180,241,0.09170985051717943,0,1,762,1,0,6,361,73,real
135,12,128,3209,456,407,0.013397486674978122,1,0,799,1,2,7,422,26,real
136,5,7,6391,2668,456,0.06715118072810375,1,1,334,1,4,0,160,24,real
137,16,95,7532,3372,140,0.00043595799565804283,1,1,989,1,0,3,393,97,real
138,12,101,6069,2728,385,0.09246511054051809,0,1,565,1,4,9,45,39,real
139,12,4,3193,3493,198,0.01125041332380915,1,0,368,0,1,9,335,89,real
140,19,85,5472,2954,111,0.009488423014757464,0,0,555,1,4,3,474,79,real
141,15,33,3226,4386,126,0.033300763305224426,1,0,678,0,1,8,475,61,real
142,7,54,3146,605,20,0.03735662860390806,1,0,554,1,1,2,104,49,real
143,5,118,3328,1996,146,0.021430007232287863,0,0,892,1,0,9,143,41,real
144,12,14,1595,418,4,0.006373201681437654,0,0,33,1,8,9,171,70,fake
145,7,144,9192,1084,302,0.04429140980419636,0,1,688,0,4,0,565,20,real
146,7,25,7667,3979,405,0.003417558904108742,0,0,67,0,2,4,309,44,real
147,5,9,9330,166,7,0.0001745890822516616,0,0,1,1,2,6,804,16,fake
148,15,11,18398,31,20,0.0031749289236509127,0,0,85,1,8,3,365,21,fake
149,9,23,1241,135,46,0.009394957865224814,0,0,69,1,6,8,249,15,fake
150,14,75,8427,3590,447,0.07248708535798805,0,0,862,1,3,5,573,39,real
151,11,71,786,3017,84,0.06981169240835236,1,0,617,0,3,5,947,42,real
152,14,10,19747,412,4,0.0013427353951692344,0,0,1,0,8,2,802,61,fake
153,13,0,16002,466,12,0.007263659451871542,0,0,55,1,5,9,595,4,fake
154,16,32,539,2834,467,0.0272467184033096,0,0,886,0,2,9,816,24,real
155,11,0,5077,4011,71,0.08317853001851594,1,1,186,0,0,4,759,3,real
156,13,146,8090,1221,297,0.09804707977830712,0,1,284,1,1,9,176,1,real
157,12,30,5528,239,484,0.049384701474156134,1,1,516,1,2,5,149,94,real
158,16,141,2163,4294,8,0.0009700354923042221,0,1,650,1,1,3,148,13,real
