profile_id,username_length,bio_length,followers_count,following_count,posts_count,engagement_rate,profile_picture,verified_status,account_age_days,external_url,suspicious_keywords_count,hashtags_count,average_likes,average_comments,label,ratio
1,11,118,5790,3137,60,0.0079982482796754,0,0,47,0,4,4,632,10,real,1.8451242829827916
2,8,52,2837,4578,146,0.0089825752572084,1,1,463,0,1,5,497,75,real,0.6195675911771129
3,17,31,5242,3377,173,0.0590753721353064,1,0,670,1,1,7,840,90,real,1.551805802249852
4,19,50,2227,3405,432,0.0599363551738265,1,0,408,0,1,3,869,26,real,0.6538461538461539
5,15,43,3549,823,277,0.0418758990482655,0,0,194,1,0,1,496,4,real,4.307038834951456
6,12,81,7855,855,333,0.0431843692312029,1,1,427,0,2,9,154,90,real,9.176401869158878
7,17,145,9239,1174,368,0.0053932582840871,0,0,930,0,4,7,533,28,real,7.862978723404256
8,9,149,4393,4772,440,0.0516546510389262,1,1,791,0,1,1,765,2,real,0.9203855017808507
9,11,36,2971,1777,378,0.0504739475380351,0,1,317,1,1,4,155,66,real,1.670978627671541
10,14,95,3236,364,141,0.0149549318556944,0,1,479,1,4,5,760,16,real,8.865753424657534
11,7,55,6847,1882,43,0.0103839386110927,1,1,421,1,2,4,512,57,real,3.636218799787573
12,11,104,7041,2034,143,0.012357249059949,1,1,269,1,2,5,613,23,real,3.45995085995086
13,15,58,9300,2827,352,0.0101028246491258,0,1,481,1,4,5,837,23,real,3.2885431400282887
14,15,9,1878,23,24,0.0025396337685712,0,0,96,1,6,2,844,77,fake,78.25
15,12,34,3726,4285,485,0.0196482652402918,0,0,736,0,2,2,636,21,real,0.8693420438637424
16,9,92,3424,75,496,0.0251430152187463,0,1,263,0,4,8,536,25,real,45.05263157894737
17,8,96,1458,4925,395,0.0173572144151439,0,1,426,1,4,2,281,58,real,0.29598051157125455
18,12,134,580,4276,54,0.0957835304448503,1,0,166,1,1,2,543,37,real,0.13560907177928455
19,12,75,2914,4100,306,0.0854617463151835,0,1,692,1,4,1,639,49,real,0.7105584003901487
20,7,48,2515,2531,357,0.023049483735152,0,0,428,1,0,6,890,77,real,0.9932859399684044
21,10,93,927,2591,422,0.0327566293922126,0,0,704,1,1,9,104,15,real,0.3576388888888889
22,9,23,6992,1400,416,0.0209892842304997,0,1,397,0,1,9,456,28,real,4.990720913633119
23,6,2,12543,309,19,0.0002325043528415,0,0,64,0,5,3,424,67,fake,40.461290322580645
24,12,36,6346,2496,284,0.0019610532474253,1,0,796,0,3,0,266,87,real,2.541449739687625
25,16,3,1688,844,324,0.0671368008896795,1,1,864,0,2,5,852,4,real,1.9976331360946746
26,18,12,19907,434,6,0.0086395172005426,0,0,79,0,7,4,271,47,fake,45.763218390804596
27,10,125,9951,3525,158,0.0898638928301103,0,0,978,0,1,1,96,50,real,2.8221781055019854
28,6,27,17881,82,10,0.000249050697462,0,0,11,0,4,5,914,60,fake,215.43373493975903
29,16,49,4759,2453,30,0.0804109246061131,0,0,880,0,4,0,445,62,real,1.9392828035859822
30,9,95,3515,737,472,0.0791961014466715,0,1,482,1,3,2,985,67,real,4.762872628726288
31,5,104,4539,3696,111,0.0127181189216886,0,1,499,1,3,3,839,72,real,1.2277522315390856
32,16,26,17092,232,4,0.0031869583786086,0,0,62,0,7,2,579,43,fake,73.35622317596567
33,14,97,8576,1046,352,0.0170152641144516,1,0,257,0,0,5,751,89,real,8.191021967526266
34,10,17,8702,11,28,0.0007824649294622,0,0,80,0,5,3,117,58,fake,725.1666666666666
35,17,78,5172,2750,51,0.0263246174830544,0,1,242,1,1,0,28,52,real,1.8800436205016358
36,16,5,216,502,137,0.0556236394025772,0,1,554,1,0,4,374,76,real,0.4294234592445328
37,13,26,8578,219,17,0.0078140592617105,0,0,47,0,6,4,662,69,fake,38.99090909090909
38,5,114,1329,1153,73,0.0947732804006305,0,1,946,1,2,8,388,97,real,1.1516464471403813
39,15,12,11668,270,7,0.0092498277307118,0,0,70,0,6,7,169,46,fake,43.055350553505534
40,15,11,4637,3417,478,0.0973692134850198,0,0,188,0,1,7,109,25,real,1.3566413107080164
41,19,29,17922,99,26,0.0056281561981779,0,0,75,0,7,4,274,25,fake,179.22
42,14,17,2700,182,386,0.0772873936381853,0,1,819,0,1,7,759,35,real,14.754098360655737
43,16,39,7333,4364,186,0.0338969926172821,0,0,400,0,4,9,759,61,real,1.6799541809851088
44,16,23,13232,352,41,0.0013956681730832,0,0,58,1,7,6,58,15,fake,37.48441926345609
45,19,142,8291,526,51,0.085788918524624,0,0,167,0,0,0,686,90,real,15.732447817836812
46,18,98,5223,532,417,0.0308860899236463,1,1,783,0,3,6,808,74,real,9.799249530956848
47,18,25,4118,1927,432,0.0658855404226842,0,1,125,0,4,7,424,88,real,2.1358921161825726
48,19,7,3030,2896,411,0.0566443685086626,1,0,673,0,2,2,68,35,real,1.0459095616154643
49,18,13,10092,405,1,0.005581608582861,0,0,10,1,7,8,192,29,fake,24.857142857142858
50,7,86,9006,1939,86,0.0495819472648539,0,0,821,0,1,7,668,38,real,4.642268041237114
51,16,41,9146,3955,108,0.0732237914092287,1,0,489,0,4,1,456,69,real,2.3119312436804855
52,11,13,2799,2219,479,0.008777291412344,0,0,226,1,0,5,907,24,real,1.2608108108108107
53,8,29,2466,343,34,0.0077034123945267,0,0,16,0,3,3,310,19,fake,7.1686046511627906
54,13,1,7615,2600,224,0.0895812101398578,1,0,345,0,2,2,617,46,real,2.9277201076509036
55,7,118,9812,4944,481,0.0057788197019864,0,0,760,0,0,5,564,49,real,1.9842264914054601
56,9,36,8145,4086,480,0.0140653339233666,1,0,874,0,4,9,363,44,real,1.9929043308049914
57,7,68,6065,1103,247,0.0716631936702031,0,1,518,1,4,8,778,73,real,5.493659420289855
58,11,13,12207,261,25,0.007184162052263,0,0,12,0,4,1,222,26,fake,46.591603053435115
59,9,61,7185,2504,119,0.0403548620813688,0,0,709,0,2,9,198,25,real,2.8682634730538923
60,13,59,7139,2589,66,0.0136966634544235,0,1,744,1,0,9,652,35,real,2.7563706563706565
61,11,124,5031,2498,60,0.0506770040717788,1,1,296,0,1,9,356,36,real,2.013205282112845
62,6,6,8714,392,22,0.0074171900586655,0,0,71,0,4,4,821,14,fake,22.173027989821882
63,8,13,2397,2768,326,0.047662045631054,1,0,837,1,3,5,912,56,real,0.8656554712892741
64,13,83,6592,1584,407,0.0763615298961656,1,0,972,0,3,3,810,6,real,4.158990536277603
65,16,129,9143,2383,190,0.0258264357887163,1,1,135,1,1,6,146,32,real,3.8351510067114094
66,18,11,19117,342,4,0.0027917384255347,0,0,91,0,8,1,39,26,fake,55.734693877551024
67,6,144,2576,4855,492,0.0992015969396835,0,1,4,1,2,6,155,15,real,0.5304777594728172
68,14,122,985,1103,188,0.0686650423354037,0,0,178,0,3,1,833,49,real,0.8922101449275363
69,13,88,7222,1199,150,0.0841356771305198,1,0,746,0,3,0,995,95,real,6.0183333333333335
70,14,27,9156,2699,285,0.0414847606560545,1,1,259,1,0,4,477,56,real,3.391111111111111
71,9,24,1490,364,15,0.0007373752258424,0,0,88,0,8,1,626,37,fake,4.082191780821918
72,6,4,5057,1885,401,0.0040509172941321,0,0,65,1,4,7,512,53,real,2.6813361611876987
73,8,3,19093,56,41,0.0014896363854845,0,0,50,1,9,7,808,58,fake,334.96491228070175
74,16,46,7392,1797,311,0.0203070592920062,0,1,363,1,3,0,977,83,real,4.111234705228031
75,19,30,6241,3942,308,0.0401951924615219,0,0,818,1,4,3,200,78,real,1.58280497083439
76,16,138,3337,1617,262,0.0845744878325763,0,0,717,0,0,8,480,36,real,2.0624227441285536
77,11,15,19302,344,10,0.0095550648507894,0,0,15,1,6,4,699,11,fake,55.947826086956525
78,16,117,2269,58,452,0.0654621193515462,0,1,200,0,2,9,354,27,real,38.45762711864407
79,17,18,11226,172,18,0.0061351398709598,0,0,59,0,6,5,760,2,fake,64.89017341040463
80,12,79,474,2190,475,0.0586182354088341,0,0,212,1,1,2,10,22,real,0.21633957097215883
81,19,92,3304,3056,124,0.0357241968170136,0,1,435,1,0,4,119,66,real,1.080798168138698
82,7,9,9166,125,15,0.0072789960586392,0,0,70,0,5,0,859,84,fake,72.74603174603175
83,18,15,11903,412,31,0.008990645917806,0,0,62,1,5,7,796,17,fake,28.82082324455206
84,5,93,1240,3836,435,0.0083873738552012,0,1,803,0,4,5,892,4,real,0.32316914255929113
85,8,104,9086,4584,131,0.0992803978186014,1,0,483,1,0,1,903,14,real,1.9816793893129772
86,6,0,3815,841,417,0.012718245363251,1,0,998,0,3,3,755,7,real,4.5308788598574825
87,12,132,6429,2707,452,0.0072348383836057,1,1,234,0,1,3,73,79,real,2.374076809453471
88,8,19,5760,4787,416,0.0878530749207155,1,0,408,1,4,8,765,94,real,1.2030075187969924
89,6,7,3866,2745,120,0.0301834660892895,0,0,694,0,2,8,62,16,real,1.4078659868900218
90,18,0,3145,91,196,0.0650296974073507,1,0,146,0,0,4,271,66,real,34.18478260869565
91,10,56,6963,96,293,0.0329005729662232,1,1,562,1,3,2,538,19,real,71.78350515463917
92,10,4,10678,88,11,0.0085275456655129,0,0,83,1,8,0,311,1,fake,119.97752808988764
93,14,117,6044,831,121,0.0262112972016796,1,1,432,1,0,5,977,31,real,7.264423076923077
94,8,27,4599,172,281,0.034304400579301,0,1,615,1,1,7,895,4,real,26.583815028901736
